	#OTU ID	mock_staggered_insilico	Taxon	group	expected_ratio	feature_id	Confidence	table_id	Forward_trim	Reverse_trim	feature_frequency	Replicate	run-number	community	composition	sum	ratio
247	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	da04b3f38c86305074d22aab863ec069	0.9112047229584224	F250R210	250	210	62.0	R46-18S-2	46	18S	Staggered	422.0	0.14691943127962084
353	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	8af35ab7718394a8980067dcf028f00f	0.907193742135698	F210R240	210	240	24.0	R46-18S-1	46	18S	Staggered	88.0	0.2727272727272727
354	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	8af35ab7718394a8980067dcf028f00f	0.907193742135698	F210R240	210	240	0.0	R46-18S-2	46	18S	Staggered	152.0	0.0
355	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	c634e82713967aa579ee610f77247360	0.8631335982278526	F210R240	210	240	0.0	R46-18S-1	46	18S	Staggered	88.0	0.0
356	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	c634e82713967aa579ee610f77247360	0.8631335982278526	F210R240	210	240	32.0	R46-18S-2	46	18S	Staggered	152.0	0.21052631578947367
436	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	0e7aaaedf7a526b413a07bdda7ced5b6	0.9217761328538604	F230R210	230	210	275.0	R46-18S-1	46	18S	Staggered	1542.0	0.17833981841763943
437	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	0e7aaaedf7a526b413a07bdda7ced5b6	0.9217761328538604	F230R210	230	210	188.0	R46-18S-2	46	18S	Staggered	1251.0	0.15027977617905675
438	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	7a407e995cb43a8578f754cdd40d2a0d	0.9081701888996162	F230R210	230	210	0.0	R46-18S-1	46	18S	Staggered	1542.0	0.0
439	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	7a407e995cb43a8578f754cdd40d2a0d	0.9081701888996162	F230R210	230	210	0.0	R46-18S-2	46	18S	Staggered	1251.0	0.0
440	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	d76c95d7aaccc8286bcfc874f8fe8327	0.925378573561882	F220R210	220	210	297.0	R46-18S-1	46	18S	Staggered	1895.0	0.15672823218997362
441	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	d76c95d7aaccc8286bcfc874f8fe8327	0.925378573561882	F220R210	220	210	218.0	R46-18S-2	46	18S	Staggered	1861.0	0.11714132186996239
442	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	02f129b0fae689f41afebd27db876264	0.8485280769880637	F220R210	220	210	0.0	R46-18S-1	46	18S	Staggered	1895.0	0.0
443	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	02f129b0fae689f41afebd27db876264	0.8485280769880637	F220R210	220	210	0.0	R46-18S-2	46	18S	Staggered	1861.0	0.0
444	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	98699086de12d21b40d053283d097fa4	0.9103923370647696	F220R210	220	210	0.0	R46-18S-1	46	18S	Staggered	1895.0	0.0
445	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	98699086de12d21b40d053283d097fa4	0.9103923370647696	F220R210	220	210	0.0	R46-18S-2	46	18S	Staggered	1861.0	0.0
505	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	2e6a2e7a5b1e5a201134f2b0937846d1	0.8837813821199411	F240R260	240	260	0.0	R46-18S-1	46	18S	Staggered	1.0	0.0
506	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	2e6a2e7a5b1e5a201134f2b0937846d1	0.8837813821199411	F240R260	240	260	0.0	R46-18S-2	46	18S	Staggered	1.0	0.0
594	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	7b2bc8aacadb3c1fbdb7b34b238ad4d3	0.9113461907957254	F260R220	260	220	16.0	R46-18S-1	46	18S	Staggered	53.0	0.3018867924528302
595	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	7b2bc8aacadb3c1fbdb7b34b238ad4d3	0.9113461907957254	F260R220	260	220	26.0	R46-18S-2	46	18S	Staggered	106.0	0.24528301886792453
669	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	77024e8367cabb141de4bfcca81eba69	0.913965252929168	F210R250	210	250	9.0	R46-18S-1	46	18S	Staggered	9.0	1.0
670	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	77024e8367cabb141de4bfcca81eba69	0.913965252929168	F210R250	210	250	0.0	R46-18S-2	46	18S	Staggered	13.0	0.0
671	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	d6fa3246ea36ecc7fb1f70628f3e16df	0.9200616687232214	F260R210	260	210	0.0	R46-18S-1	46	18S	Staggered	255.0	0.0
672	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	d6fa3246ea36ecc7fb1f70628f3e16df	0.9200616687232214	F260R210	260	210	0.0	R46-18S-2	46	18S	Staggered	192.0	0.0
797	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	02f129b0fae689f41afebd27db876264	0.8485280769880637	F220R230	220	230	0.0	R46-18S-1	46	18S	Staggered	400.0	0.0
798	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	02f129b0fae689f41afebd27db876264	0.8485280769880637	F220R230	220	230	0.0	R46-18S-2	46	18S	Staggered	364.0	0.0
799	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	5fcb0102b5c32649dc246bca802720f1	0.9116140321329388	F220R230	220	230	0.0	R46-18S-1	46	18S	Staggered	400.0	0.0
800	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	5fcb0102b5c32649dc246bca802720f1	0.9116140321329388	F220R230	220	230	44.0	R46-18S-2	46	18S	Staggered	364.0	0.12087912087912088
801	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	73955a6af47b7b2738c03502b055bfd8	0.8017237691037001	F220R230	220	230	44.0	R46-18S-1	46	18S	Staggered	400.0	0.11
802	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	73955a6af47b7b2738c03502b055bfd8	0.8017237691037001	F220R230	220	230	0.0	R46-18S-2	46	18S	Staggered	364.0	0.0
803	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	57cfb1435ac1e8a11f52335af37411fe	0.8829378508699451	F220R230	220	230	0.0	R46-18S-1	46	18S	Staggered	400.0	0.0
804	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	57cfb1435ac1e8a11f52335af37411fe	0.8829378508699451	F220R230	220	230	0.0	R46-18S-2	46	18S	Staggered	364.0	0.0
805	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	96dfd815a7fcea48200ec5467676d932	0.9171304976369988	F220R230	220	230	0.0	R46-18S-1	46	18S	Staggered	400.0	0.0
806	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	96dfd815a7fcea48200ec5467676d932	0.9171304976369988	F220R230	220	230	0.0	R46-18S-2	46	18S	Staggered	364.0	0.0
807	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	b08f218328ea3d5a7335f73c6605f03f	0.9180011900324904	F230R230	230	230	0.0	R46-18S-1	46	18S	Staggered	339.0	0.0
808	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	b08f218328ea3d5a7335f73c6605f03f	0.9180011900324904	F230R230	230	230	18.0	R46-18S-2	46	18S	Staggered	174.0	0.10344827586206896
809	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	b7b58625ca6f98deb872493bf7b39569	0.8126932724614961	F230R230	230	230	57.0	R46-18S-1	46	18S	Staggered	339.0	0.168141592920354
810	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	b7b58625ca6f98deb872493bf7b39569	0.8126932724614961	F230R230	230	230	0.0	R46-18S-2	46	18S	Staggered	174.0	0.0
811	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	176d92299453af30deac4ba302010698	0.9172246386786632	F230R230	230	230	0.0	R46-18S-1	46	18S	Staggered	339.0	0.0
812	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	176d92299453af30deac4ba302010698	0.9172246386786632	F230R230	230	230	0.0	R46-18S-2	46	18S	Staggered	174.0	0.0
857	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	02f129b0fae689f41afebd27db876264	0.8485280769880637	F220R220	220	220	0.0	R46-18S-1	46	18S	Staggered	777.0	0.0
858	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	02f129b0fae689f41afebd27db876264	0.8485280769880637	F220R220	220	220	0.0	R46-18S-2	46	18S	Staggered	858.0	0.0
859	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	cdbbfdc1d600ca18e5eeef6e25ee3354	0.918423885110202	F220R220	220	220	146.0	R46-18S-1	46	18S	Staggered	777.0	0.1879021879021879
860	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	cdbbfdc1d600ca18e5eeef6e25ee3354	0.918423885110202	F220R220	220	220	138.0	R46-18S-2	46	18S	Staggered	858.0	0.16083916083916083
861	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	6b50da46b7c972c97a9be901cf152641	0.9020966324420416	F230R220	230	220	102.0	R46-18S-1	46	18S	Staggered	585.0	0.17435897435897435
862	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	6b50da46b7c972c97a9be901cf152641	0.9020966324420416	F230R220	230	220	73.0	R46-18S-2	46	18S	Staggered	613.0	0.11908646003262642
863	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	3f782f38b3c978dbe29d713a0f019fb4	0.898983517115021	F230R220	230	220	0.0	R46-18S-1	46	18S	Staggered	585.0	0.0
864	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	3f782f38b3c978dbe29d713a0f019fb4	0.898983517115021	F230R220	230	220	0.0	R46-18S-2	46	18S	Staggered	613.0	0.0
942	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	aa7475d4e3c2ff0b1ed09dad21622ea0	0.8714456235878273	F250R250	250	250	0.0	R46-18S-1	46	18S	Staggered	32.0	0.0
943	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	aa7475d4e3c2ff0b1ed09dad21622ea0	0.8714456235878273	F250R250	250	250	0.0	R46-18S-2	46	18S	Staggered	2.0	0.0
954	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	d7fe17f98c398f99afefc6033b11479d	0.8245784350759273	F210R270	210	270	0.0	R46-18S-1	46	18S	Staggered	32.0	0.0
955	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	d7fe17f98c398f99afefc6033b11479d	0.8245784350759273	F210R270	210	270	0.0	R46-18S-2	46	18S	Staggered	2.0	0.0
1018	650557dd569e9ca81248b7e08b206a76	680	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__Chrysochromulina; s__uncultured_eukaryote	Haptophyta; Prymnesiophyceae; Prymnesiales	0.17	f0b5cbe919813411db94bc645d5dfc46	0.9078944266203242	F250R220	250	220	64.0	R46-18S-1	46	18S	Staggered	286.0	0.22377622377622378
